Team,Team_ID,Rank,Record,Auto,SP,Avg_Pts,Std_Dev,Trend,Trend_Delta,Skills,ML_Win_Prob,Category,Tier_Score,Synergy_Score,Partner_Score
2982X,184675,1,6-0-0,10.0,13.3,97.5,27.2,↓,-25.8,100,0.8622795078848151,🏆 ELITE,193.11,45,181.2279507884815
2602K,101054,4,6-0-0,6.67,22.7,92.2,32.4,↓,-27.6,69,0.7930875196618234,🏆 ELITE,159.65,45,144.30875196618234
8889A,153219,3,5-1-0,8.33,16.3,87.7,31.7,↑,11.4,69,0.6447238813291035,🏆 ELITE,157.24,45,134.47238813291034
1898A,87708,2,6-0-0,9.17,19.3,82.7,34.7,↓,-37.2,74,0.43454651191529103,📊 SOLID,105.06,45,121.78798452486245
15797H,185780,6,6-0-0,8.33,19.8,81.1,32.4,↓,-55.2,0,0.16092505532445167,⚠️ FRAUD WATCH,42.33,45,75.37821981815945
20203Z,120790,7,6-0-0,6.67,22.7,81.4,26.7,↓,-34.8,0,0.1436860641192986,📊 SOLID,69.68,45,71.86860641192986
25600Y,112643,11,5-1-0,8.33,26.3,75.5,41.5,↓,-12.5,64,0.13785870253231958,📊 SOLID,65.23,45,67.11920358656529
43440X,134581,12,5-1-0,8.33,20.7,81.8,35.2,↓,-9.0,0,0.10070186654557466,📊 SOLID,62.73,45,62.76249434686516
8568F,59030,13,5-1-0,6.67,17.8,70.0,41.5,↓,-34.7,39,0.07864440190576413,📊 SOLID,61.08,45,60.00729733343356
9421W,76879,5,6-0-0,5.83,25.7,81.6,25.2,↓,-17.2,30,0.28200938165633366,🔫 GUNSLINGER,90.77,15,59.86760483230003
785W,112402,14,5-1-0,8.33,23.7,55.9,30.4,↓,-25.3,0,0.02361384403612277,🧪 SPECIALIST,62.85,45,54.02805107027894
2602E,73754,19,4-2-0,7.5,42.5,62.8,24.6,→,-0.5,45,0.03992735434686478,📊 SOLID,57.0,45,53.99273543468648
26268C,161170,15,4-2-0,7.5,25.0,51.9,31.6,→,0.0,0,0.023421814337375425,🧪 SPECIALIST,62.42,45,53.592181433737544
2982Z,190765,10,6-0-0,4.17,19.8,74.6,32.8,↓,-27.6,0,0.2943018288947379,🔫 GUNSLINGER,83.81,15,53.52109198038288
9228A,63496,16,4-2-0,6.67,17.5,47.3,44.3,↑,39.7,0,0.025902631707778668,⚡ PEAKING,82.18,45,53.47261611195434
35075K,186724,20,4-2-0,6.67,25.3,62.6,39.6,↓,-32.3,0,0.021426346191640685,📊 SOLID,55.83,45,51.90453938106883
92973B,176185,29,3-3-0,6.67,42.2,62.0,35.4,↑,51.0,26,0.025820977311489034,⚡ PEAKING,79.62,45,50.91543106448224
35075A,130515,28,3-3-0,7.5,21.3,58.8,31.5,↓,-14.5,64,0.022061804250833355,🧪 SPECIALIST,59.55,45,50.6544562871523
81580B,190298,34,2-4-0,6.67,16.2,41.2,30.4,↑,43.0,0,0.020962117613333636,⚡ PEAKING,78.91,45,49.95335461847622
4716A,28732,36,2-4-0,6.67,27.7,54.5,41.2,↑,21.7,0,0.021704219009365967,⚡ PEAKING,78.79,45,49.8731246036393
33711A,115530,37,2-4-0,6.67,24.2,41.8,29.1,↑,21.0,15,0.016563078707521363,⚡ PEAKING,78.46,45,49.287886818120555
15797A,107334,8,5-1-0,5.0,22.3,85.9,27.9,↓,-21.8,12,0.20242484632735777,🔫 GUNSLINGER,81.23,15,46.353595743846896
8568D,59028,62,0-6-0,1.67,15.2,15.2,9.8,↑,11.0,0,0.008482572115384616,⚡ PEAKING,77.01,40,42.43555879884005
33711B,116302,55,1-5-0,3.33,14.3,14.7,7.8,→,2.7,4,0.0034825721153846157,📊 SOLID,51.96,40,42.133971497252745
9421M,114468,9,6-0-0,4.17,26.7,62.5,28.6,↑,22.0,18,0.04065533484516915,⚡ PEAKING,87.03,15,29.065533484516916
8568G,59031,38,2-4-0,5.0,42.0,57.0,14.0,↓,-6.0,31,0.00396374829001368,📊 SOLID,52.76,25,27.960477393103933
8889V,185156,40,2-4-0,3.33,27.0,38.7,19.7,↑,21.3,0,0.0,⚡ PEAKING,77.44,25,27.4390243902439
9228C,87519,42,2-4-0,3.33,11.7,18.5,16.3,↑,25.0,0,0.0,⚡ PEAKING,77.33,25,27.325581395348838
26268D,191746,44,2-4-0,2.5,23.3,33.8,18.6,↑,22.3,0,0.0,⚡ PEAKING,77.22,25,27.22222222222222
26268B,161168,45,2-4-0,2.5,18.3,34.4,14.4,→,1.3,0,0.0,📊 SOLID,52.17,25,27.17391304347826
24675B,169868,58,1-5-0,0.83,10.5,12.3,10.5,→,-4.0,0,0.0,📊 SOLID,51.69,25,26.694915254237287
1784X,83922,59,0-6-0,5.0,22.8,22.8,10.0,→,-3.7,20,0.0,📊 SOLID,51.67,25,26.666666666666668
75575B,161885,60,0-6-0,3.33,21.2,21.2,17.9,↑,15.0,0,0.0,⚡ PEAKING,76.64,25,26.639344262295083
1784W,93470,63,0-6-0,0.0,30.2,30.2,14.7,↑,6.3,0,0.0,📊 SOLID,51.56,25,26.5625
15797X,185779,18,4-2-0,5.0,6.0,59.1,35.5,↓,-8.2,0,0.030870459379305965,📊 SOLID,56.81,15,23.35020383266744
9421S,89818,21,4-2-0,5.83,13.3,37.4,24.0,→,-0.7,15,0.030738197453853075,📊 SOLID,56.08,15,22.619274290839854
8568A,58826,17,4-2-0,6.67,10.7,76.1,45.1,→,3.5,58,0.16270354760826589,📊 SOLID,63.69,0,21.825910316382142
9228B,63497,27,3-3-0,4.17,13.2,43.1,42.6,↓,-23.0,0,0.01663226438867402,📊 SOLID,54.4,15,20.234655010295974
35075C,171257,26,3-3-0,4.17,13.2,32.4,35.6,↓,-32.3,0,0.013385724634920205,📊 SOLID,54.37,15,20.042276167195723
25600S,89010,24,4-2-0,5.0,17.7,41.1,25.4,↓,-13.7,18,0.0047912360479537,📊 SOLID,54.24,15,19.47912360479537
81580X,190301,47,2-4-0,2.5,13.2,48.5,45.5,↑,15.7,0,0.02386067423472581,⚡ PEAKING,78.28,15,19.469400756805914
4716B,41659,31,3-3-0,5.0,12.2,47.5,39.3,↑,21.7,0,0.012896809467031943,⚡ PEAKING,78.77,15,19.414680946703193
35075B,133493,22,4-2-0,5.0,28.7,51.7,34.0,↓,-36.0,21,0.0,📊 SOLID,54.35,15,19.347826086956523
99928A,71572,35,2-4-0,5.83,23.8,34.1,31.4,↓,-18.0,0,0.014650095746109093,📊 SOLID,53.51,15,19.24278735238869
81580T,181186,25,4-2-0,4.17,23.0,47.1,33.7,↓,-9.3,0,0.00396374829001368,📊 SOLID,54.04,15,19.242528675155214
2621A,59059,23,4-2-0,5.0,20.3,46.9,28.1,↓,-43.3,0,0.0,📊 SOLID,54.17,15,19.166666666666668
1784Z,83923,49,2-4-0,1.67,15.0,32.8,21.5,↓,-9.0,33,0.02096996680801317,📊 SOLID,53.05,15,19.09699668080132
9228D,101799,30,3-3-0,5.83,22.7,41.4,39.0,↑,9.0,0,0.007740470719352287,⚡ PEAKING,78.61,15,18.999853523548133
99928D,89814,39,2-4-0,5.0,12.8,28.2,30.2,↑,40.3,0,0.012363472023045914,⚡ PEAKING,78.12,15,18.736347202304593
1784Y,93469,32,3-3-0,3.33,17.7,34.6,22.6,↓,-6.0,19,0.0,📊 SOLID,53.03,15,18.03030303030303
81580A,166704,33,3-3-0,1.67,17.0,27.7,28.8,↓,-30.3,0,0.0,📊 SOLID,52.94,15,17.941176470588236
24675C,169902,51,1-5-0,1.67,14.0,30.7,37.5,↓,-30.7,0,0.009421976344906524,📊 SOLID,52.39,15,17.865274557567574
8568S,88261,43,2-4-0,2.5,29.7,30.3,27.0,↓,-8.0,0,0.004257898603967671,📊 SOLID,52.49,15,17.69851713312404
1898Z,133948,57,1-5-0,1.67,8.7,32.2,22.2,↓,-5.7,22,0.008221646893981352,📊 SOLID,52.14,15,17.54630262043262
75575A,161884,41,2-4-0,3.33,12.8,30.8,35.8,↑,22.3,0,0.0,⚡ PEAKING,77.38,15,17.38095238095238
8568T,93759,46,2-4-0,2.5,15.8,26.2,21.4,→,-0.3,0,0.0,📊 SOLID,52.13,15,17.127659574468083
785B,63162,48,2-4-0,1.67,25.7,28.8,21.2,↓,-11.7,0,0.0,📊 SOLID,52.04,15,17.040816326530614
8568N,87389,50,1-4-1,5.0,23.8,39.2,33.8,↓,-43.0,0,0.0,📊 SOLID,51.96,15,16.96078431372549
25600Z,149365,52,1-5-0,5.0,35.8,39.7,32.9,↑,64.7,0,0.0,⚡ PEAKING,76.89,15,16.88679245283019
1898S,116651,53,1-5-0,4.17,20.8,30.2,26.5,↓,-9.0,0,0.0,📊 SOLID,51.85,15,16.85185185185185
26268A,161166,54,1-5-0,3.33,27.5,37.0,30.7,→,-1.3,0,0.0,📊 SOLID,51.82,15,16.818181818181817
785A,77715,56,1-5-0,2.5,29.7,30.3,22.7,→,3.3,0,0.0,📊 SOLID,51.75,15,16.75438596491228
99928C,89813,61,0-6-0,3.33,14.2,28.7,26.6,↓,-30.0,0,0.0,📊 SOLID,51.61,15,16.612903225806452
